	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ippv12m	emo_12m	physical_emotional	ippv12m	ippv12m	emo_12m	emo_12m	physical_emotional	physical_emotional
									
account	-0.0117**	-0.0180***	-0.0186***	0.0034	-0.0197***	0.0077	-0.0340***	0.0022	-0.0296***
	(0.0054)	(0.0059)	(0.0065)	(0.0079)	(0.0070)	(0.0087)	(0.0084)	(0.0095)	(0.0088)
Women_empowerment_index	-0.1728***	-0.1855***	-0.2281***	-0.1754***	-0.1616***	-0.1867***	-0.1741***	-0.2323***	-0.2091***
	(0.0087)	(0.0096)	(0.0104)	(0.0101)	(0.0165)	(0.0110)	(0.0178)	(0.0121)	(0.0190)
age_res	-0.0006*	0.0005	-0.0001	-0.0003	-0.0011*	0.0008**	0.0000	0.0004	-0.0010
	(0.0003)	(0.0003)	(0.0004)	(0.0004)	(0.0006)	(0.0004)	(0.0006)	(0.0004)	(0.0007)
edu_years	0.0039***	0.0054***	0.0059***	0.0048***	0.0027***	0.0059***	0.0048***	0.0069***	0.0047***
	(0.0006)	(0.0007)	(0.0007)	(0.0007)	(0.0009)	(0.0008)	(0.0010)	(0.0008)	(0.0011)
work_cur	0.0215***	0.0459***	0.0455***	0.0263***	0.0137**	0.0539***	0.0369***	0.0527***	0.0355***
	(0.0041)	(0.0045)	(0.0050)	(0.0050)	(0.0069)	(0.0057)	(0.0079)	(0.0062)	(0.0085)
poly	0.0296***	0.0442***	0.0471***	0.0325***	0.0207**	0.0473***	0.0319***	0.0523***	0.0285**
	(0.0047)	(0.0050)	(0.0053)	(0.0055)	(0.0095)	(0.0059)	(0.0107)	(0.0063)	(0.0110)
occupation3	-0.0135**	-0.0222**	-0.0280***	-0.0191**	-0.0057	-0.0322**	-0.0042	-0.0362***	-0.0120
	(0.0067)	(0.0092)	(0.0093)	(0.0093)	(0.0090)	(0.0131)	(0.0123)	(0.0134)	(0.0125)
occupation4	0.0181***	0.0308***	0.0327***	0.0226***	0.0071	0.0396***	0.0112	0.0448***	0.0104
	(0.0050)	(0.0058)	(0.0061)	(0.0067)	(0.0081)	(0.0075)	(0.0087)	(0.0081)	(0.0093)
age_p	-0.0023***	-0.0013***	-0.0022***	-0.0023***	-0.0024***	-0.0014***	-0.0012**	-0.0023***	-0.0019***
	(0.0002)	(0.0003)	(0.0003)	(0.0003)	(0.0004)	(0.0003)	(0.0005)	(0.0003)	(0.0005)
edu_year_p	-0.0048***	-0.0060***	-0.0067***	-0.0046***	-0.0050***	-0.0057***	-0.0066***	-0.0063***	-0.0073***
	(0.0005)	(0.0005)	(0.0006)	(0.0006)	(0.0008)	(0.0007)	(0.0009)	(0.0007)	(0.0009)
p_occupation3	-0.0019	-0.0002	-0.0069	-0.0108	0.0036	0.0164	-0.0124	-0.0012	-0.0109
	(0.0110)	(0.0142)	(0.0148)	(0.0160)	(0.0142)	(0.0219)	(0.0185)	(0.0226)	(0.0189)
p_occupation4	-0.0082*	-0.0083	-0.0092	-0.0118*	-0.0082	-0.0125*	-0.0078	-0.0132*	-0.0093
	(0.0046)	(0.0055)	(0.0056)	(0.0062)	(0.0072)	(0.0073)	(0.0079)	(0.0077)	(0.0083)
middle	-0.0126***	-0.0060	-0.0095*	-0.0143***	-0.0043	-0.0097*	0.0067	-0.0132**	0.0066
	(0.0046)	(0.0051)	(0.0054)	(0.0051)	(0.0116)	(0.0056)	(0.0144)	(0.0061)	(0.0150)
riher	-0.0233***	-0.0130**	-0.0189***	-0.0413***	0.0030	-0.0284***	0.0068	-0.0409***	0.0128
	(0.0051)	(0.0057)	(0.0061)	(0.0058)	(0.0118)	(0.0066)	(0.0135)	(0.0071)	(0.0143)
riherest	-0.0610***	-0.0419***	-0.0621***	-0.0628***	-0.0429***	-0.0505***	-0.0296**	-0.0683***	-0.0427***
	(0.0067)	(0.0074)	(0.0080)	(0.0088)	(0.0120)	(0.0099)	(0.0137)	(0.0107)	(0.0146)
loc2	0.0360***	0.0289***	0.0355***						
	(0.0049)	(0.0057)	(0.0059)						
Constant	0.3181***	0.4102***	0.5137***	0.3159***	0.3543***	0.4197***	0.4157***	0.5211***	0.5262***
	(0.0110)	(0.0138)	(0.0145)	(0.0135)	(0.0212)	(0.0162)	(0.0252)	(0.0174)	(0.0263)
									
Observations	65,754	65,754	65,754	45,898	19,856	45,898	19,856	45,898	19,856
R-squared	0.0486	0.0301	0.0388	0.0466	0.0597	0.0334	0.0331	0.0408	0.0449
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
