	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ippv12m	emo_12m	physical_emotional	ippv12m	ippv12m	emo_12m	emo_12m	physical_emotional	physical_emotional
									
account	0.9084**	0.9035***	0.9092***	1.0237	0.8355***	1.0469	0.8157***	1.0139	0.8508***
	(0.0367)	(0.0306)	(0.0298)	(0.0553)	(0.0468)	(0.0494)	(0.0404)	(0.0468)	(0.0393)
Women_empowerment_index	0.3367***	0.3731***	0.3423***	0.3382***	0.3415***	0.3714***	0.3921***	0.3377***	0.3652***
	(0.0181)	(0.0188)	(0.0167)	(0.0210)	(0.0363)	(0.0217)	(0.0365)	(0.0192)	(0.0329)
age_res	0.9960*	1.0027	0.9998	0.9980	0.9912**	1.0044**	0.9997	1.0020	0.9950
	(0.0023)	(0.0019)	(0.0018)	(0.0026)	(0.0043)	(0.0022)	(0.0034)	(0.0021)	(0.0032)
edu_years	1.0239***	1.0287***	1.0279***	1.0291***	1.0165**	1.0320***	1.0257***	1.0329***	1.0222***
	(0.0039)	(0.0036)	(0.0034)	(0.0050)	(0.0065)	(0.0044)	(0.0057)	(0.0041)	(0.0054)
work_cur	1.1516***	1.2932***	1.2486***	1.1889***	1.1005**	1.3572***	1.2251***	1.2950***	1.1900***
	(0.0318)	(0.0332)	(0.0307)	(0.0403)	(0.0532)	(0.0444)	(0.0543)	(0.0397)	(0.0504)
poly	1.2163***	1.2480***	1.2429***	1.2319***	1.1639**	1.2658***	1.1814***	1.2705***	1.1482***
	(0.0363)	(0.0309)	(0.0302)	(0.0413)	(0.0774)	(0.0366)	(0.0648)	(0.0363)	(0.0606)
occupation3	0.8575**	0.8923**	0.8715***	0.8106**	0.9386	0.8596**	0.9748	0.8465***	0.9384
	(0.0551)	(0.0423)	(0.0398)	(0.0722)	(0.0850)	(0.0543)	(0.0673)	(0.0530)	(0.0619)
occupation4	1.1188***	1.1732***	1.1642***	1.1481***	1.0492	1.2257***	1.0591	1.2303***	1.0490
	(0.0360)	(0.0346)	(0.0331)	(0.0484)	(0.0574)	(0.0467)	(0.0491)	(0.0457)	(0.0474)
age_p	0.9841***	0.9929***	0.9895***	0.9845***	0.9833***	0.9925***	0.9938**	0.9891***	0.9909***
	(0.0018)	(0.0015)	(0.0014)	(0.0021)	(0.0033)	(0.0017)	(0.0026)	(0.0017)	(0.0024)
edu_year_p	0.9695***	0.9681***	0.9685***	0.9716***	0.9654***	0.9702***	0.9643***	0.9708***	0.9645***
	(0.0031)	(0.0027)	(0.0026)	(0.0038)	(0.0053)	(0.0034)	(0.0046)	(0.0032)	(0.0044)
p_occupation3	0.9805	0.9956	0.9620	0.9072	1.0438	1.0885	0.9301	0.9914	0.9442
	(0.0967)	(0.0787)	(0.0733)	(0.1311)	(0.1328)	(0.1246)	(0.1021)	(0.1109)	(0.0955)
p_occupation4	0.9447*	0.9570	0.9565	0.9237*	0.9458	0.9377	0.9585	0.9396*	0.9553
	(0.0301)	(0.0282)	(0.0259)	(0.0386)	(0.0488)	(0.0369)	(0.0415)	(0.0344)	(0.0393)
middle	0.9275**	0.9700	0.9582*	0.9189***	0.9737	0.9498*	1.0400	0.9411**	1.0354
	(0.0271)	(0.0262)	(0.0245)	(0.0301)	(0.0747)	(0.0283)	(0.0775)	(0.0268)	(0.0730)
riher	0.8601***	0.9340**	0.9160***	0.7565***	1.0177	0.8545***	1.0401	0.8203***	1.0641
	(0.0300)	(0.0288)	(0.0270)	(0.0316)	(0.0787)	(0.0316)	(0.0722)	(0.0286)	(0.0715)
riherest	0.6425***	0.7894***	0.7340***	0.6231***	0.7371***	0.7429***	0.8536**	0.7049***	0.8132***
	(0.0318)	(0.0327)	(0.0294)	(0.0442)	(0.0610)	(0.0443)	(0.0616)	(0.0398)	(0.0571)
loc2	1.2918***	1.1711***	1.1897***						
	(0.0438)	(0.0363)	(0.0340)						
Constant	0.4621***	0.7621***	1.1643**	0.4560***	0.6186***	0.7836***	0.8078	1.1902**	1.2738*
	(0.0396)	(0.0542)	(0.0800)	(0.0478)	(0.0979)	(0.0642)	(0.1071)	(0.0967)	(0.1620)
									
Observations	65,754	65,754	65,754	45,898	19,856	45,898	19,856	45,898	19,856
Robust seeform in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
